Topic,Articles
abuse,"['https://www.betterhelp.com/advice/abuse/how-therapy-can-help-when-someone-abuses-you/', 'https://www.betterhelp.com/advice/abuse/12-long-and-short-term-effects-of-child-abuse/', 'https://www.betterhelp.com/advice/abuse/types-of-elder-abuse-what-should-i-be-looking-for/', 'https://www.betterhelp.com/advice/abuse/why-do-people-participate-in-victim-blaming/', 'https://www.betterhelp.com/advice/abuse/what-is-covert-narcissistic-abuse-gaslighting-manipulation-and-intimidation/', 'https://www.betterhelp.com/advice/abuse/identifying-the-signs-of-spousal-abuse/', 'https://www.betterhelp.com/advice/abuse/am-i-the-victim-of-covert-abuse-learning-the-signs/', 'https://www.betterhelp.com/advice/abuse/i-had-abusive-parents-am-i-at-risk-of-abusing-kids/', 'https://www.betterhelp.com/advice/abuse/stopping-the-abuse-cycle-where-do-i-start/', 'https://www.betterhelp.com/advice/abuse/narcissistic-abuse-examples-how-to-identify-if-youre-a-victim-of-abuse/', 'https://www.betterhelp.com/advice/abuse/6-ways-to-end-the-cycle-of-abuse/', 'https://www.betterhelp.com/advice/abuse/define-sobriety-how-it-impacts-your-life/']"
adhd,"['https://www.betterhelp.com/advice/adhd/16-symptoms-of-adhd-in-adults/', 'https://www.betterhelp.com/advice/adhd/5-signs-of-add-in-adults-learning-to-recognize-adult-add/', 'https://www.betterhelp.com/advice/adhd/what-is-hyperactivity-add-vs-adhd/', 'https://www.betterhelp.com/advice/adhd/adhd-adult-symptoms-challenges-and-treatments/', 'https://www.betterhelp.com/advice/adhd/helpful-adhd-apps/', 'https://www.betterhelp.com/advice/adhd/dyslexia-and-adhd-coping-with-a-dual-diagnosis/', 'https://www.betterhelp.com/advice/adhd/adhd-and-alcohol-how-alcohol-abuse-affects-adhd/', 'https://www.betterhelp.com/advice/adhd/adhd-symptoms-in-adults-what-to-look-out-for/', 'https://www.betterhelp.com/advice/adhd/what-is-the-conners-adhd-rating-scale/', 'https://www.betterhelp.com/advice/adhd/using-essential-oils-for-adhd-symptom-management/', 'https://www.betterhelp.com/advice/adhd/how-an-adhd-simulation-can-help-you-parent-a-child-with-adhd/', 'https://www.betterhelp.com/advice/adhd/diagnosed-with-adhd-jobs-that-may-be-a-good-fit/']"
adolescence,"['https://www.betterhelp.com/advice/adolescence/cognitive-development-in-adolescence-why-its-important-to-know-how-your-childs-mind-works/', 'https://www.betterhelp.com/advice/adolescence/changes-to-expect-in-late-adolescence/', 'https://www.betterhelp.com/advice/adolescence/adolescent-brain-development-and-what-it-means/', 'https://www.betterhelp.com/advice/adolescence/adolescent-psychology-what-makes-teens-different-and-how-can-psychology-help/', 'https://www.betterhelp.com/advice/adolescence/adolescent-age-range-and-what-it-means/', 'https://www.betterhelp.com/advice/adolescence/what-is-adolescent-egocentrism-and-how-can-i-deal-with-it-as-a-parent/', 'https://www.betterhelp.com/advice/adolescence/18-areas-of-normal-adolescent-behavior/', 'https://www.betterhelp.com/advice/adolescence/coping-with-eating-disorders-in-adolescence/', 'https://www.betterhelp.com/advice/adolescence/helping-a-young-person-with-adolescent-drug-use/', 'https://www.betterhelp.com/advice/adolescence/adolescent-depression-its-increasing-but-how-do-we-stop-it/', 'https://www.betterhelp.com/advice/adolescence/an-overview-of-the-adolescence-definition/', 'https://www.betterhelp.com/advice/adolescence/coping-with-bullying-in-schools/']"
alzheimers,"['https://www.betterhelp.com/advice/alzheimers/whats-the-difference-between-dementia-and-alzheimers/', 'https://www.betterhelp.com/advice/alzheimers/ten-facts-you-didnt-know-about-alzheimers-and-dementia/', 'https://www.betterhelp.com/advice/alzheimers/is-there-an-at-home-alzheimer-test-12-questions-for-possible-patients/', 'https://www.betterhelp.com/advice/alzheimers/ten-important-things-to-know-about-alzheimers-progression/', 'https://www.betterhelp.com/advice/alzheimers/6-early-signs-of-alzheimers-to-be-aware-of/', 'https://www.betterhelp.com/advice/alzheimers/dementia-vs-alzheimers-whats-the-difference-2/', 'https://www.betterhelp.com/advice/alzheimers/what-is-aspiration/', 'https://www.betterhelp.com/advice/alzheimers/14-most-common-alzheimers-treatment-options/', 'https://www.betterhelp.com/advice/alzheimers/what-are-the-stages-of-alzheimers-and-how-is-each-managed/', 'https://www.betterhelp.com/advice/alzheimers/18-activities-of-the-alzheimers-association/', 'https://www.betterhelp.com/advice/alzheimers/what-causes-alzheimers-disease/', 'https://www.betterhelp.com/advice/alzheimers/treatments-that-could-lead-to-an-alzheimers-cure/']"
ambition,"['https://www.betterhelp.com/advice/ambition/the-ambitious-woman-7-habits-successful-women-have-in-common/', 'https://www.betterhelp.com/advice/ambition/27-ways-to-overcome-lack-of-ambition/', 'https://www.betterhelp.com/advice/ambition/what-does-ambition-mean-an-overview/', 'https://www.betterhelp.com/advice/ambition/what-is-the-difference-between-blind-ambition-and-ambition/', 'https://www.betterhelp.com/advice/ambition/10-ways-driving-ambition-helps-you-succeed-sometimes/', 'https://www.betterhelp.com/advice/ambition/why-do-some-people-have-more-ambition-than-others-do/', 'https://www.betterhelp.com/advice/ambition/the-best-ambition-quotes-to-keep-you-focused/']"
anger,"['https://www.betterhelp.com/advice/anger/struggling-with-anger-attacks-how-to-gain-control/', 'https://www.betterhelp.com/advice/anger/strategies-for-teenagers-anger-management/', 'https://www.betterhelp.com/advice/anger/why-am-i-so-angry-depression-and-its-link-to-anger/', 'https://www.betterhelp.com/advice/anger/when-feeling-depressed-angry-emotions-make-coping-difficult/', 'https://www.betterhelp.com/advice/anger/volatile-anger-symptoms-you-shouldnt-ignore/', 'https://www.betterhelp.com/advice/anger/where-to-find-effective-free-anger-management-classes-that-really-work-and-where-to-get-therapy-online/', 'https://www.betterhelp.com/advice/anger/whats-the-connection-between-menopause-and-anger-toward-husbands/', 'https://www.betterhelp.com/advice/anger/how-to-calm-your-inner-angry-woman/', 'https://www.betterhelp.com/advice/anger/does-testosterone-make-you-angry/', 'https://www.betterhelp.com/advice/anger/what-is-angry-depression-and-how-can-it-be-treated/', 'https://www.betterhelp.com/advice/anger/managing-anger-with-healthy-habits/', 'https://www.betterhelp.com/advice/anger/the-dangers-of-extreme-anger/']"
Anxiety,"['https://www.betterhelp.com/advice/anxiety/what-is-an-anxiety-attack-10-ways-to-recognize-and-cope-with-an-anxiety-attack/', 'https://www.betterhelp.com/advice/anxiety/spiraling-out-of-control-how-to-stay-calm-when-dealing-with-anxiety/', 'https://www.betterhelp.com/advice/anxiety/anxiety-attack-relief-4-methods-to-cope-with-an-anxiety-attack/', 'https://www.betterhelp.com/advice/anxiety/how-to-cure-social-anxiety-using-these-5-tips/', 'https://www.betterhelp.com/advice/anxiety/is-anxiety-a-mental-illness/', 'https://www.betterhelp.com/advice/anxiety/how-to-treat-social-anxiety-5-ways-to-manage-social-anxiety/', 'https://www.betterhelp.com/advice/anxiety/how-to-treat-anxiety-in-3-steps/', 'https://www.betterhelp.com/advice/anxiety/what-helps-anxiety-7-tips-to-decrease-anxiety-symptoms/', 'https://www.betterhelp.com/advice/anxiety/how-to-fight-anxiety-tips-and-tricks/', 'https://www.betterhelp.com/advice/anxiety/is-there-a-cure-for-anxiety/', 'https://www.betterhelp.com/advice/anxiety/social-anxiety-support-support-groups-understanding-and-intervention/', 'https://www.betterhelp.com/advice/anxiety/types-of-anxiety-attack-treatment/']"
attachment,"['https://www.betterhelp.com/advice/attachment/how-does-conditional-positive-regard-affect-well-being/', 'https://www.betterhelp.com/advice/attachment/what-are-the-four-attachment-styles/', 'https://www.betterhelp.com/advice/attachment/reactive-attachment-disorder-causes-symptoms-and-treatment/', 'https://www.betterhelp.com/advice/attachment/what-is-a-writ-of-bodily-attachment-how-does-it-work/', 'https://www.betterhelp.com/advice/attachment/ways-to-create-a-secure-attachment/', 'https://www.betterhelp.com/advice/attachment/types-of-therapy-for-adult-attachment-issues/', 'https://www.betterhelp.com/advice/attachment/what-does-background-attachment-mean-how-does-it-work/', 'https://www.betterhelp.com/advice/attachment/what-is-ambivalent-attachment-how-does-it-affect-me/', 'https://www.betterhelp.com/advice/attachment/how-does-the-science-of-attraction-work/', 'https://www.betterhelp.com/advice/attachment/what-is-disorganized-attachment-how-does-it-work/', 'https://www.betterhelp.com/advice/attachment/non-attachment-symptoms-and-therapy/', 'https://www.betterhelp.com/advice/attachment/how-attachment-therapy-can-help-you/']"
attraction,"['https://www.betterhelp.com/advice/attraction/what-is-the-split-attraction-model/', 'https://www.betterhelp.com/advice/attraction/mind-over-matter-why-youre-attracted-to-intelligence/', 'https://www.betterhelp.com/advice/attraction/the-science-behind-pheromones-attraction/', 'https://www.betterhelp.com/advice/attraction/how-to-read-someones-body-language-attraction-to-you/', 'https://www.betterhelp.com/advice/attraction/what-is-genetic-sexual-attraction-and-is-it-real/', 'https://www.betterhelp.com/advice/attraction/using-eye-contact-attraction-to-build-a-relationship/', 'https://www.betterhelp.com/advice/attraction/signs-of-attraction-how-do-i-know-if-they-like-me/', 'https://www.betterhelp.com/advice/attraction/what-are-different-types-of-attraction/']"
behavior,"['https://www.betterhelp.com/advice/behavior/what-to-do-when-you-recognize-passive-behavior-in-yourself-or-others/', 'https://www.betterhelp.com/advice/behavior/behaviors-emotions-and-feelings-how-they-work-together/', 'https://www.betterhelp.com/advice/behavior/systematic-desensitization-definition-and-process/', 'https://www.betterhelp.com/advice/behavior/10-strategies-for-avoidant-coping/', 'https://www.betterhelp.com/advice/behavior/is-it-a-bad-thing-to-be-perfectionistic/', 'https://www.betterhelp.com/advice/behavior/how-do-you-define-codependent-relationships/', 'https://www.betterhelp.com/advice/behavior/13-tips-for-overcoming-shyness/', 'https://www.betterhelp.com/advice/behavior/four-signs-youre-suffering-from-codependency-in-your-relationships/', 'https://www.betterhelp.com/advice/behavior/7-signs-of-manipulative-behavior/', 'https://www.betterhelp.com/advice/behavior/what-is-an-applied-behavior-analyst-and-what-do-they-do/', 'https://www.betterhelp.com/advice/behavior/how-can-i-find-the-right-childrens-behavioral-therapist-near-me/', 'https://www.betterhelp.com/advice/behavior/how-aba-behavior-strategies-can-help-change-maladaptive-behaviors/']"
